,APOGEE_ID,RA,DEC,VHELIO,VERR,VSCATTER,NVISITS,SNR,Hmag
37,2M01292189+3007460,22.341225,30.129446,7.083658218383789,0.2364646792411804,0.3771820068359375,12,40.65810775756836,14.324999809265137
38,2M01292765+3053403,22.365216,30.894533,4.41007137298584,0.0274596065282821,0.1307941675186157,7,2054.3828125,6.732999801635742
39,2M01293159+3047490,22.381665,30.796953,-61.5927848815918,0.1795492470264434,0.0,1,7.392959117889404,12.008999824523926
40,2M01293228+3030251,22.384517,30.506994,-2.748530387878418,0.0589194446802139,0.1305030733346939,6,149.46878051757812,12.038000106811523
41,2M01293463+3058205,22.394307,30.972387,-100.5699462890625,0.1750063747167587,0.2900570929050445,11,71.27239227294922,14.317999839782717
42,2M01293645+3137214,22.401883,31.622629,-19.58635902404785,0.0657845363020896,7.490715503692627,5,145.44290161132812,12.196999549865724
43,2M01294131+3110488,22.422135,31.180227,9.791862487792969,0.0432244800031185,0.0642089322209358,4,131.91317749023438,11.95300006866455
44,2M01294193+3043013,22.424749,30.717052,-20.922866821289062,0.0681922286748886,0.0800902768969535,3,110.52942657470705,12.144000053405762
45,2M01294407+3029279,22.433639,30.491102,-27.855661392211918,0.0480858981609344,0.0987943932414054,3,153.1055145263672,11.923999786376951
46,2M01294687+3103271,22.445319,31.05755,-7.987595558166504,0.0224986020475626,0.1517992317676544,3,1105.3643798828125,7.034999847412109
47,2M01294718+3015247,22.446614,30.256872,-33.741798400878906,0.0703189074993133,0.1763128787279129,4,122.83753967285156,12.10099983215332
48,2M01294771+3019364,22.448829,30.326796,35.457786560058594,0.3287481665611267,0.4276854693889618,12,31.87314224243164,14.319000244140623
49,2M01294990+3141259,22.457945,31.690533,-15.270829200744627,0.2064177542924881,0.2595557868480682,12,51.59344482421875,14.32900047302246
50,2M01295223+3059456,22.46766,30.996,-34.15778350830078,0.0302376467734575,6.831593036651611,3,259.5317077636719,11.00100040435791
51,2M01295347+3138305,22.472815,31.641811,43.04161834716797,0.2252258509397506,11.557287216186523,10,43.54645538330078,14.302000045776367
52,2M01300040+3104246,22.501671,31.073502,-70.83208465576172,1.3670296669006348,2.7915992736816406,2,24.044029235839844,14.300999641418455
53,2M01300294+2955234,22.512282,29.923189,-12.80434226989746,0.0224483758211135,0.0796850100159645,3,864.037109375,7.826000213623047
