col1,col2
7173.0,0.22352331767028852
7174.0,0.22339003783935013
7175.0,0.2232548509576256
7176.0,0.2231217069609435
7177.0,0.22298859525552536
7178.0,0.22285553919154713
7179.0,0.22272256206593274
7180.0,0.22258961722421666
7181.0,0.22245676239137835
7181.97900390625,0.22232677357835065
7182.0,0.22232346633717756
7183.0,0.2221640091323613
7184.0,0.2220066018033063
7185.0,0.22184924291890115
7186.0,0.22169195571487685
7187.0,0.22153476336353972
7188.0,0.22137761944098128
7189.0,0.22122054713536365
7190.0,0.22106356957150386
7191.0,0.2209066788806217
7191.98193359375,0.2207507856668386
7192.0,0.2207478408463787
7193.0,0.22058684358827907
7194.0,0.2204258974751311
7195.0,0.22026502559923297
7196.0,0.2201042509879259
7197.0,0.21994352750424825
7198.0,0.21978287819178013
7199.0,0.219622326029227
7200.0,0.21945989427811569
7201.0,0.21929959563075938
7201.984375,0.21914185123835658
7202.0,0.21913925105569657
7203.0,0.2189728789592168
7204.0,0.21880660773488994
7205.0,0.21864039150565454
7206.0,0.21847425318358615
7207.0,0.21830821561355723
7208.0,0.2181403135079335
7209.0,0.21797441016040567
7210.0,0.21780860744430125
7211.0,0.21764293130648257
7211.9873046875,0.2174794346694657
7212.0,0.2174775190115185
7213.0,0.21732668132332658
7214.0,0.21717588886510492
7215.0,0.2170251871399294
7216.0,0.21687453063527962
7217.0,0.21672203458440772
7218.0,0.21657153793649325
7219.0,0.2164210864943861
7220.0,0.21627070294651998
7221.0,0.21612048106596535
7221.98974609375,0.21597184383775003
7222.0,0.21597028637618118
7223.0,0.21581843158277533
7224.0,0.21566666825544245
7225.0,0.21551305387816638
7226.0,0.21536142945754325
7227.0,0.21520985125328593
7228.0,0.21505834183182085
7229.0,0.21490692369842862
7230.0,0.21475555176669206
7231.0,0.21459579200902948
7231.99267578125,0.2144373043206694
7232.0,0.21443642333649296
7233.0,0.21431425600234535
7234.0,0.21419402840145144
7235.0,0.21407387481226928
7236.0,0.21395375032249153
7237.0,0.21383367736955047
7238.0,0.21371367834289035
7239.0,0.2135937084022038
7240.0,0.21347378994893365
7241.0,0.21335401355098094
7241.9951171875,0.2132329818243719
7242.0,0.21323250375734712
7243.0,0.21313651312014262
7244.0,0.21304053407710719
7245.0,0.21294458897684695
7246.0,0.21284870013008114
7247.0,0.21275282287763053
7248.0,0.21265697953968624
7249.0,0.2125611923985893
7250.0,0.21246354513826596
7251.0,0.21236787425169726
7251.998046875,0.21227244616142835
7252.0,0.2122723443799341
7253.0,0.21222021092353602
7254.0,0.2121680793299976
7255.0,0.2121159718515352
7256.0,0.21206384398911696
7257.0,0.21201171799983598
7258.0,0.21195961612126507
7259.0,0.21190562662498738
7260.0,0.21185352890507775
7261.0,0.21180148065882354
7262.0,0.2117494342730415
7262.00048828125,0.21174940887106922
7263.0,0.2117034127712888
7264.0,0.2116573694434758
7265.0,0.21161132357683485
7266.0,0.2115652973742133
7267.0,0.21151738219356092
7268.0,0.21147132909386562
7269.0,0.21142529566101667
7270.0,0.2113792375260723
7271.0,0.2113332793604364
7272.0,0.21128734082642758
7272.00341796875,0.21128718372980476
7273.0,0.21128967472117632
7274.0,0.211292136193494
7275.0,0.21129458173237564
7276.0,0.21129510426092835
7277.0,0.21129747357419928
7278.0,0.21129978266222768
7279.0,0.21130205371995853
7280.0,0.2113043089456391
7281.0,0.21130646915274753
7282.0,0.21130859138470737
7282.005859375,0.21130860383775513
7283.0,0.2113174473934973
7284.0,0.21132441467087607
