Wavelength(nm),Transmittance(%)
1058.5,-0.020406701
1058.0,-0.013985829
1057.5,-0.014381891
1057.0,-0.019665666
1056.5,-0.014076904
1056.0,-0.018059433
1055.5,-0.017445343
1055.0,-0.016533721
1054.5,-0.017889945
1054.0,-0.017878035
1053.5,-0.019276997
1053.0,-0.013889025
1052.5,-0.014582356
1052.0,-0.016005619
1051.5,-0.017100967
1051.0,-0.016369259
1050.5,-0.019436589
1050.0,-0.017468531
1049.5,-0.015843824
1049.0,-0.015044893
1048.5,-0.021246936
1048.0,-0.015718769
1047.5,-0.016727129
1047.0,-0.017732078
1046.5,-0.017554235
1046.0,-0.018145541
1045.5,-0.017820647
1045.0,-0.01762541
1044.5,-0.017310357
1044.0,-0.01563612
1043.5,-0.018265223
1043.0,-0.017449075
1042.5,-0.015170999
1042.0,-0.015928514
1041.5,-0.020893674
1041.0,-0.018150229
1040.5,-0.016619641
1040.0,-0.014473542
1039.5,-0.014494495
1039.0,-0.018436637
1038.5,-0.017773805
1038.0,-0.016639994
1037.5,-0.017262928
1037.0,-0.019815413
1036.5,-0.015695257
1036.0,-0.017998736
1035.5,-0.015477965
1035.0,-0.018699849
1034.5,-0.017129494
1034.0,-0.017426737
1033.5,-0.017325923
1033.0,-0.016936617
1032.5,-0.019039501
1032.0,-0.01532704
1031.5,-0.017774809
1031.0,-0.018175734
1030.5,-0.016746257
1030.0,-0.016976086
1029.5,-0.017844835
1029.0,-0.017545383
1028.5,-0.013974487
1028.0,-0.016846811
1027.5,-0.014451949
1027.0,-0.017221477
1026.5,-0.012001024
1026.0,-0.013643458
1025.5,-0.019687843
1025.0,-0.015116028
1024.5,-0.015297967
1024.0,-0.016425712
1023.5,-0.011943115
1023.0,-0.014621082
1022.5,-0.01836881
1022.0,-0.014372979
1021.5,-0.013136928
1021.0,-0.019717
1020.5,-0.019954426
1020.0,-0.015135228
1019.5,-0.012107817
1019.0,-0.01556759
1018.5,-0.015186568
1018.0,-0.015944403
1017.5,-0.014824801
1017.0,-0.020403886
1016.5,-0.014832062
1016.0,-0.012394015
1015.5,-0.017815106
1015.0,-0.016548149
1014.5,-0.014121243
1014.0,-0.01875625
1013.5,-0.0144737
1013.0,-0.013718949
1012.5,-0.020046972
1012.0,-0.014191662
1011.5,-0.016787088
1011.0,-0.01645733
1010.5,-0.018814486
1010.0,-0.018504314
1009.5,-0.0177426
1009.0,-0.019667652
1008.5,-0.016381882
1008.0,-0.01789912
1007.5,-0.011448382
1007.0,-0.017502433
1006.5,-0.022992486
1006.0,-0.01706077
1005.5,-0.016403111
1005.0,-0.01531156
1004.5,-0.018168831
1004.0,-0.01563216
1003.5,-0.017574672
1003.0,-0.015635535
1002.5,-0.018495005
1002.0,-0.015992057
1001.5,-0.013986709
1001.0,-0.01545707
1000.5,-0.015597149
1000.0,-0.017945787
999.5,-0.020331485
999.0,-0.016587557
998.5,-0.013009002
998.0,-0.01734313
997.5,-0.014239389
997.0,-0.015554821
996.5,-0.015176649
996.0,-0.017081674
995.5,-0.017605253
995.0,-0.016827272
994.5,-0.015922679
994.0,-0.015981039
993.5,-0.019558165
993.0,-0.021550588
992.5,-0.015739238
992.0,-0.014419427
991.5,-0.018741872
991.0,-0.020134399
990.5,-0.017246218
990.0,-0.015311384
989.5,-0.018452566
989.0,-0.016126858
988.5,-0.018166564
988.0,-0.018416887
987.5,-0.014825
987.0,-0.019084502
986.5,-0.019248512
986.0,-0.018109426
985.5,-0.019128989
985.0,-0.015219336
984.5,-0.017172333
984.0,-0.018949743
983.5,-0.014378237
983.0,-0.013117956
982.5,-0.019830368
982.0,-0.020711834
981.5,-0.012222075
981.0,-0.012863021
980.5,-0.021829989
980.0,-0.021020459
979.5,-0.016559698
979.0,-0.015153412
978.5,-0.016397689
978.0,-0.016219333
977.5,-0.018527854
977.0,-0.019092774
976.5,-0.01701411
976.0,-0.016797645
975.5,-0.017803265
975.0,-0.014879273
974.5,-0.014849694
974.0,-0.013334299
973.5,-0.01573319
973.0,-0.016558938
972.5,-0.01893053
972.0,-0.017403029
971.5,-0.018354544
971.0,-0.015331678
970.5,-0.015140281
970.0,-0.015004004
969.5,-0.016312836
969.0,-0.015641561
968.5,-0.014575235
968.0,-0.010767564
967.5,-0.013879624
967.0,-0.015510939
966.5,-0.016461736
966.0,-0.014995091
965.5,-0.013306277
965.0,-0.017318685
964.5,-0.020225981
964.0,-0.016121974
963.5,-0.014230205
963.0,-0.015442587
