Wavelength(nm),Transmittance(%)
1140.5,0.014593729
1140.0,0.012327377
1139.5,0.018557595
1139.0,0.016496042
1138.5,0.009415174
1138.0,0.013140274
1137.5,0.016052246
1137.0,0.012549484
1136.5,0.010962784
1136.0,0.018044785
1135.5,0.012253129
1135.0,0.005947686
1134.5,0.011040518
1134.0,0.014787423
1133.5,0.008588327
1133.0,0.010518791
1132.5,0.01136236
1132.0,0.009981222
1131.5,0.00904317
1131.0,0.01045595
1130.5,0.00805624
1130.0,0.009968682
1129.5,0.009217977
1129.0,0.008184697
1128.5,0.011090996
1128.0,0.006521225
1127.5,0.006703536
1127.0,0.005039356
1126.5,0.011339161
1126.0,0.002690065
1125.5,0.006958646
1125.0,0.002640081
1124.5,0.006603959
1124.0,0.003215382
1123.5,0.001853485
1123.0,0.001065921
1122.5,-4.75824E-4
1122.0,1.13171E-4
1121.5,-8.53158E-4
1121.0,0.001535436
1120.5,4.5294E-4
1120.0,-5.05793E-4
1119.5,-0.001822985
1119.0,4.6291E-4
1118.5,0.002165088
1118.0,-0.002564006
1117.5,-0.003171062
1117.0,-0.001554652
1116.5,-0.005502975
1116.0,-0.007829293
1115.5,-0.004898253
1115.0,-0.005075027
1114.5,-0.004844162
1114.0,-0.007283986
1113.5,-0.007901089
1113.0,-0.009191406
1112.5,-0.005861368
1112.0,-0.009866423
1111.5,-0.010300661
1111.0,-0.004991699
1110.5,-0.013057526
1110.0,-0.01154302
1109.5,-0.012917182
1109.0,-0.010568172
1108.5,-0.007809412
1108.0,-0.010300767
1107.5,-0.010982456
1107.0,-0.013943181
1106.5,-0.010710062
1106.0,-0.011403575
1105.5,-0.014330897
1105.0,-0.011369497
1104.5,-0.015757456
1104.0,-0.012269903
1103.5,-0.012773399
1103.0,-0.013505051
1102.5,-0.011770328
1102.0,-0.014923179
1101.5,-0.014799735
1101.0,-0.01577178
1100.5,-0.016240813
1100.0,-0.014963376
1099.5,-0.015167048
1099.0,-0.016690416
1098.5,-0.015283844
1098.0,-0.014045314
1097.5,-0.017275188
1097.0,-0.015890988
1096.5,-0.015731337
1096.0,-0.015182845
1095.5,-0.018015554
1095.0,-0.018487928
1094.5,-0.018976469
1094.0,-0.012987628
1093.5,-0.016898468
1093.0,-0.01864847
1092.5,-0.019070156
1092.0,-0.0208876
1091.5,-0.019371361
1091.0,-0.023238624
1090.5,-0.018247347
1090.0,-0.019766254
1089.5,-0.017052911
1089.0,-0.021922491
1088.5,-0.017721312
1088.0,-0.017824698
1087.5,-0.02198072
1087.0,-0.01899037
1086.5,-0.018472891
1086.0,-0.02020962
1085.5,-0.01764839
1085.0,-0.02397302
1084.5,-0.020145988
1084.0,-0.020328745
1083.5,-0.022204017
1083.0,-0.019743893
1082.5,-0.021519195
1082.0,-0.017103467
1081.5,-0.019582933
1081.0,-0.021785973
1080.5,-0.018976504
1080.0,-0.020223284
1079.5,-0.021154691
1079.0,-0.019149398
1078.5,-0.021422725
1078.0,-0.018229142
1077.5,-0.021988787
1077.0,-0.020591445
1076.5,-0.018468875
1076.0,-0.023191625
1075.5,-0.022280598
1075.0,-0.01856656
1074.5,-0.02236359
1074.0,-0.018309936
1073.5,-0.023041362
1073.0,-0.014334066
1072.5,-0.020563899
1072.0,-0.021867165
1071.5,-0.020459194
1071.0,-0.023144022
1070.5,-0.0232445
1070.0,-0.026012067
1069.5,-0.022225939
1069.0,-0.019284029
1068.5,-0.023704248
1068.0,-0.0243825
1067.5,-0.021525329
1067.0,-0.02322848
1066.5,-0.022873003
1066.0,-0.018540647
1065.5,-0.02096599
1065.0,-0.02451404
1064.5,-0.022270247
1064.0,-0.024085211
1063.5,-0.024691701
1063.0,-0.020125039
1062.5,-0.016756162
1062.0,-0.027992992
1061.5,-0.028629063
1061.0,-0.01410545
1060.5,-0.02211412
1060.0,-0.026578948
1059.5,-0.025609285
1059.0,-0.024214344
1058.5,-0.020440623
1058.0,-0.027251095
1057.5,-0.025266482
1057.0,-0.018473022
1056.5,-0.026619926
1056.0,-0.025510605
1055.5,-0.024127387
1055.0,-0.025927519
1054.5,-0.02349364
1054.0,-0.024888922
1053.5,-0.026258189
1053.0,-0.026875697
1052.5,-0.025108088
1052.0,-0.02488791
1051.5,-0.02771746
1051.0,-0.025135072
1050.5,-0.024931768
1050.0,-0.024896787
1049.5,-0.027473886
1049.0,-0.027611515
1048.5,-0.025571655
1048.0,-0.026433526
1047.5,-0.030124975
1047.0,-0.028968338
1046.5,-0.027168812
1046.0,-0.02649351
1045.5,-0.028881224
1045.0,-0.026700288
1044.5,-0.026515137
1044.0,-0.026740925
1043.5,-0.024856478
1043.0,-0.027095536
1042.5,-0.028473448
1042.0,-0.027334932
1041.5,-0.027317539
1041.0,-0.028404905
1040.5,-0.026067276
1040.0,-0.027106065
1039.5,-0.027867004
1039.0,-0.028888486
1038.5,-0.024263725
1038.0,-0.029798256
1037.5,-0.026422583
1037.0,-0.030889113
1036.5,-0.026088465
1036.0,-0.02894997
1035.5,-0.025417391
1035.0,-0.025730126
1034.5,-0.031637434
1034.0,-0.027150266
1033.5,-0.023346739
1033.0,-0.029214999
1032.5,-0.027881525
1032.0,-0.024711544
1031.5,-0.02605501
1031.0,-0.02810495
1030.5,-0.026813839
1030.0,-0.025943812
1029.5,-0.027185602
1029.0,-0.025484696
1028.5,-0.032982111
1028.0,-0.022494791
1027.5,-0.025442822
1027.0,-0.028402109
1026.5,-0.026337652
1026.0,-0.02711346
1025.5,-0.031773407
1025.0,-0.02705312
1024.5,-0.025354994
1024.0,-0.027644519
1023.5,-0.028028473
1023.0,-0.023828471
1022.5,-0.026134748
1022.0,-0.027198417
1021.5,-0.027719093
1021.0,-0.027907899
1020.5,-0.02719296
1020.0,-0.024762677
1019.5,-0.027825413
1019.0,-0.027574334
1018.5,-0.026133366
1018.0,-0.029175825
1017.5,-0.026978316
1017.0,-0.026288725
1016.5,-0.024749737
1016.0,-0.025433296
1015.5,-0.025869863
1015.0,-0.023149474
1014.5,-0.027599124
1014.0,-0.023323853
1013.5,-0.026881544
